IR,conf,kulc,lhs,lift,rhs,sup_lhs
0.571428571,0.8,0.553846154,['垃圾臭味扰民'],2.461538462,['城市管理'],0.125
0.333333333,1,0.833333333,['道路遗撒'],6.666666667,['其他区域堆放施工废弃料'],0.1
0.692307692,1,0.653846154,['路灯(灯光)井盖'],3.076923077,['城市管理'],0.1
0.5,0.833333333,0.608974359,['积存垃圾渣土'],2.564102564,['城市管理'],0.15
0.5,1,0.75,['下水道堵塞或破损'],5,['道路破损'],0.1
0.166666667,1,0.916666667,['垃圾臭味扰民'],6.666666667,['其他区域堆放施工废弃料'],0.125
0.166666667,0.833333333,0.916666667,['其他区域堆放施工废弃料'],6.666666667,['垃圾臭味扰民'],0.15
0,0.8,0.8,['垃圾臭味扰民'],6.4,['道路保洁'],0.125
0,0.8,0.8,['道路保洁'],6.4,['垃圾臭味扰民'],0.125
0.692307692,1,0.653846154,['固体废物'],3.076923077,['城市管理'],0.1
0.428571429,1,0.785714286,['路灯(灯光)井盖'],5.714285714,['暴露垃圾'],0.1
0.615384615,1,0.692307692,['道路保洁'],3.076923077,['城市管理'],0.125
0.571428571,0.8,0.553846154,['城市公共设施'],2.461538462,['城市管理'],0.125
0.333333333,1,0.833333333,['道路遗撒'],6.666666667,['积存垃圾渣土'],0.1
0,1,1,['其他施工管理问题'],8,['工业红线内噪声'],0.125
0,1,1,['工业红线内噪声'],8,['其他施工管理问题'],0.125
0,1,1,['积存垃圾渣土'],6.666666667,['其他区域堆放施工废弃料'],0.15
0,1,1,['其他区域堆放施工废弃料'],6.666666667,['积存垃圾渣土'],0.15
0.142857143,0.8,0.733333333,['工业红线内噪声'],5.333333333,['施工安全隐患'],0.125
0,1,1,['其他区域废弃家具'],10,['住宅区域内废弃家具设备'],0.1
0,1,1,['住宅区域内废弃家具设备'],10,['其他区域废弃家具'],0.1
0.333333333,1,0.833333333,['固体废物'],6.666666667,['积存垃圾渣土'],0.1
0.333333333,0.8,0.65,['上水井盖'],4,['道路破损'],0.125
0.692307692,1,0.653846154,['道路积水'],3.076923077,['城市管理'],0.1
0.5,1,0.75,['上水井盖'],4,['下水井盖'],0.125
0.142857143,0.8,0.733333333,['道路保洁'],5.333333333,['其他区域堆放施工废弃料'],0.125
0.5,0.833333333,0.608974359,['其他区域堆放施工废弃料'],2.564102564,['城市管理'],0.15
0.2,0.8,0.9,['垃圾臭味扰民'],8,['道路遗撒'],0.125
0.2,1,0.9,['道路遗撒'],8,['垃圾臭味扰民'],0.1
0.333333333,1,0.833333333,['固体废物'],6.666666667,['其他区域堆放施工废弃料'],0.1
0.142857143,0.8,0.733333333,['其他施工管理问题'],5.333333333,['施工安全隐患'],0.125
0.363636364,0.833333333,0.666666667,['架空线缆损坏'],3.333333333,['下水井盖'],0.15
0.25,0.8,0.685714286,['公共绿地养护'],4.571428571,['暴露垃圾'],0.125
0.571428571,0.8,0.553846154,['上水井盖'],2.461538462,['城市管理'],0.125
0.25,0.8,0.685714286,['垃圾臭味扰民'],4.571428571,['暴露垃圾'],0.125
0.25,0.8,0.685714286,['道路保洁'],4.571428571,['暴露垃圾'],0.125
0.2,0.8,0.9,['公共绿地养护'],8,['绿化带养护'],0.125
0.2,1,0.9,['绿化带养护'],8,['公共绿地养护'],0.1
0.2,1,0.9,['路灯(灯光)井盖'],8,['道路保洁'],0.1
0.2,0.8,0.9,['道路保洁'],8,['路灯(灯光)井盖'],0.125
0.166666667,0.833333333,0.916666667,['积存垃圾渣土'],6.666666667,['垃圾臭味扰民'],0.15
0.166666667,1,0.916666667,['垃圾臭味扰民'],6.666666667,['积存垃圾渣土'],0.125
0.142857143,0.8,0.733333333,['道路保洁'],5.333333333,['积存垃圾渣土'],0.125
0.333333333,1,0.833333333,"['道路遗撒', '垃圾臭味扰民']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.2,0.8,0.9,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",8,['道路遗撒'],0.125
0.2,1,0.9,"['其他区域堆放施工废弃料', '道路遗撒']",8,['垃圾臭味扰民'],0.1
0.2,0.8,0.9,['垃圾臭味扰民'],8,"['其他区域堆放施工废弃料', '道路遗撒']",0.125
0.2,1,0.9,['道路遗撒'],8,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",0.1
0.25,1,0.875,"['城市管理', '下水井盖']",5,['道路破损'],0.15
0.538461538,1,0.730769231,"['道路破损', '下水井盖']",3.076923077,['城市管理'],0.15
0.4,1,0.8,"['道路破损', '城市管理']",4,['下水井盖'],0.15
0.333333333,1,0.833333333,"['下水井盖', '积存垃圾渣土']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.333333333,1,0.833333333,"['其他区域堆放施工废弃料', '下水井盖']",6.666666667,['积存垃圾渣土'],0.1
0.333333333,1,0.833333333,"['垃圾臭味扰民', '暴露垃圾']",6.666666667,['积存垃圾渣土'],0.1
0.2,1,0.9,"['暴露垃圾', '积存垃圾渣土']",8,['垃圾臭味扰民'],0.1
0.25,0.8,0.685714286,"['垃圾臭味扰民', '积存垃圾渣土']",4.571428571,['暴露垃圾'],0.125
0.2,0.8,0.9,['垃圾臭味扰民'],8,"['暴露垃圾', '积存垃圾渣土']",0.125
0.2,1,0.9,"['暴露垃圾', '路灯(灯光)井盖']",8,['道路保洁'],0.1
0,1,1,"['道路保洁', '暴露垃圾']",10,['路灯(灯光)井盖'],0.1
0.428571429,1,0.785714286,"['道路保洁', '路灯(灯光)井盖']",5.714285714,['暴露垃圾'],0.1
0,1,1,['路灯(灯光)井盖'],10,"['道路保洁', '暴露垃圾']",0.1
0.2,0.8,0.9,['道路保洁'],8,"['暴露垃圾', '路灯(灯光)井盖']",0.125
0.333333333,1,0.833333333,"['垃圾臭味扰民', '暴露垃圾']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.2,1,0.9,"['其他区域堆放施工废弃料', '暴露垃圾']",8,['垃圾臭味扰民'],0.1
0.25,0.8,0.685714286,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",4.571428571,['暴露垃圾'],0.125
0.2,0.8,0.9,['垃圾臭味扰民'],8,"['其他区域堆放施工废弃料', '暴露垃圾']",0.125
0.2,1,0.9,"['城市管理', '路灯(灯光)井盖']",8,['道路保洁'],0.1
0.692307692,1,0.653846154,"['道路保洁', '路灯(灯光)井盖']",3.076923077,['城市管理'],0.1
0.2,0.8,0.9,"['道路保洁', '城市管理']",8,['路灯(灯光)井盖'],0.125
0.2,1,0.9,['路灯(灯光)井盖'],8,"['道路保洁', '城市管理']",0.1
0.2,0.8,0.9,['道路保洁'],8,"['城市管理', '路灯(灯光)井盖']",0.125
0.166666667,1,0.916666667,"['垃圾臭味扰民', '积存垃圾渣土']",6.666666667,['其他区域堆放施工废弃料'],0.125
0.166666667,0.833333333,0.916666667,"['其他区域堆放施工废弃料', '积存垃圾渣土']",6.666666667,['垃圾臭味扰民'],0.15
0.166666667,1,0.916666667,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",6.666666667,['积存垃圾渣土'],0.125
0.166666667,0.833333333,0.916666667,['积存垃圾渣土'],6.666666667,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",0.15
0.166666667,1,0.916666667,['垃圾臭味扰民'],6.666666667,"['其他区域堆放施工废弃料', '积存垃圾渣土']",0.125
0.166666667,0.833333333,0.916666667,['其他区域堆放施工废弃料'],6.666666667,"['垃圾臭味扰民', '积存垃圾渣土']",0.15
0,0.8,0.8,"['其他区域堆放施工废弃料', '城市管理']",6.4,['道路保洁'],0.125
0.142857143,0.8,0.733333333,"['道路保洁', '城市管理']",5.333333333,['其他区域堆放施工废弃料'],0.125
0.692307692,1,0.653846154,"['道路保洁', '其他区域堆放施工废弃料']",3.076923077,['城市管理'],0.1
0,0.8,0.8,['道路保洁'],6.4,"['其他区域堆放施工废弃料', '城市管理']",0.125
0.333333333,1,0.833333333,"['暴露垃圾', '积存垃圾渣土']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.333333333,1,0.833333333,"['其他区域堆放施工废弃料', '暴露垃圾']",6.666666667,['积存垃圾渣土'],0.1
0.5,1,0.75,"['城市管理', '上水井盖']",5,['道路破损'],0.1
0.692307692,1,0.653846154,"['道路破损', '上水井盖']",3.076923077,['城市管理'],0.1
0.142857143,0.8,0.733333333,['上水井盖'],5.333333333,"['道路破损', '城市管理']",0.125
0.428571429,1,0.785714286,"['城市管理', '路灯(灯光)井盖']",5.714285714,['暴露垃圾'],0.1
0.692307692,1,0.653846154,"['路灯(灯光)井盖', '暴露垃圾']",3.076923077,['城市管理'],0.1
0,1,1,"['城市管理', '暴露垃圾']",10,['路灯(灯光)井盖'],0.1
0,1,1,['路灯(灯光)井盖'],10,"['城市管理', '暴露垃圾']",0.1
0,0.8,0.8,"['城市管理', '积存垃圾渣土']",6.4,['道路保洁'],0.125
0.692307692,1,0.653846154,"['道路保洁', '积存垃圾渣土']",3.076923077,['城市管理'],0.1
0.142857143,0.8,0.733333333,"['道路保洁', '城市管理']",5.333333333,['积存垃圾渣土'],0.125
0,0.8,0.8,['道路保洁'],6.4,"['城市管理', '积存垃圾渣土']",0.125
0.571428571,0.8,0.553846154,"['下水井盖', '上水井盖']",2.461538462,['城市管理'],0.125
0.6,1,0.7,"['城市管理', '上水井盖']",4,['下水井盖'],0.1
0.142857143,0.8,0.733333333,['上水井盖'],5.333333333,"['城市管理', '下水井盖']",0.125
0.2,0.8,0.9,"['垃圾臭味扰民', '积存垃圾渣土']",8,['道路遗撒'],0.125
0.2,1,0.9,"['道路遗撒', '积存垃圾渣土']",8,['垃圾臭味扰民'],0.1
0.333333333,1,0.833333333,"['道路遗撒', '垃圾臭味扰民']",6.666666667,['积存垃圾渣土'],0.1
0.2,0.8,0.9,['垃圾臭味扰民'],8,"['道路遗撒', '积存垃圾渣土']",0.125
0.2,1,0.9,['道路遗撒'],8,"['垃圾臭味扰民', '积存垃圾渣土']",0.1
0.166666667,1,0.916666667,"['城市管理', '积存垃圾渣土']",6.666666667,['其他区域堆放施工废弃料'],0.125
0.5,0.833333333,0.608974359,"['其他区域堆放施工废弃料', '积存垃圾渣土']",2.564102564,['城市管理'],0.15
0.166666667,1,0.916666667,"['其他区域堆放施工废弃料', '城市管理']",6.666666667,['积存垃圾渣土'],0.125
0.166666667,0.833333333,0.916666667,['积存垃圾渣土'],6.666666667,"['其他区域堆放施工废弃料', '城市管理']",0.15
0.166666667,0.833333333,0.916666667,['其他区域堆放施工废弃料'],6.666666667,"['城市管理', '积存垃圾渣土']",0.15
0.2,1,0.9,"['施工安全隐患', '其他施工管理问题']",8,['工业红线内噪声'],0.1
0.142857143,0.8,0.733333333,"['工业红线内噪声', '其他施工管理问题']",5.333333333,['施工安全隐患'],0.125
0.2,1,0.9,"['工业红线内噪声', '施工安全隐患']",8,['其他施工管理问题'],0.1
0.2,0.8,0.9,['其他施工管理问题'],8,"['工业红线内噪声', '施工安全隐患']",0.125
0.2,0.8,0.9,['工业红线内噪声'],8,"['施工安全隐患', '其他施工管理问题']",0.125
0.692307692,1,0.653846154,"['固体废物', '积存垃圾渣土']",3.076923077,['城市管理'],0.1
0.2,0.8,0.9,"['城市管理', '积存垃圾渣土']",8,['固体废物'],0.125
0.333333333,1,0.833333333,"['城市管理', '固体废物']",6.666666667,['积存垃圾渣土'],0.1
0.2,1,0.9,['固体废物'],8,"['城市管理', '积存垃圾渣土']",0.1
0,0.8,0.8,"['垃圾臭味扰民', '积存垃圾渣土']",6.4,['道路保洁'],0.125
0.2,1,0.9,"['道路保洁', '积存垃圾渣土']",8,['垃圾臭味扰民'],0.1
0.333333333,1,0.833333333,"['道路保洁', '垃圾臭味扰民']",6.666666667,['积存垃圾渣土'],0.1
0.2,0.8,0.9,['垃圾臭味扰民'],8,"['道路保洁', '积存垃圾渣土']",0.125
0,0.8,0.8,['道路保洁'],6.4,"['垃圾臭味扰民', '积存垃圾渣土']",0.125
0.2,1,0.9,"['城市管理', '暴露垃圾']",8,['道路保洁'],0.1
0.692307692,1,0.653846154,"['道路保洁', '暴露垃圾']",3.076923077,['城市管理'],0.1
0.25,0.8,0.685714286,"['道路保洁', '城市管理']",4.571428571,['暴露垃圾'],0.125
0.2,0.8,0.9,['道路保洁'],8,"['城市管理', '暴露垃圾']",0.125
0,0.8,0.8,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",6.4,['道路保洁'],0.125
0.333333333,1,0.833333333,"['道路保洁', '垃圾臭味扰民']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.2,1,0.9,"['道路保洁', '其他区域堆放施工废弃料']",8,['垃圾臭味扰民'],0.1
0.2,0.8,0.9,['垃圾臭味扰民'],8,"['道路保洁', '其他区域堆放施工废弃料']",0.125
0,0.8,0.8,['道路保洁'],6.4,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",0.125
0.2,1,0.9,"['城市管理', '垃圾臭味扰民']",8,['道路保洁'],0.1
0.692307692,1,0.653846154,"['道路保洁', '垃圾臭味扰民']",3.076923077,['城市管理'],0.1
0,0.8,0.8,"['道路保洁', '城市管理']",6.4,['垃圾臭味扰民'],0.125
0,0.8,0.8,['垃圾臭味扰民'],6.4,"['道路保洁', '城市管理']",0.125
0.2,0.8,0.9,['道路保洁'],8,"['城市管理', '垃圾臭味扰民']",0.125
0.333333333,1,0.833333333,"['固体废物', '积存垃圾渣土']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.333333333,1,0.833333333,"['其他区域堆放施工废弃料', '固体废物']",6.666666667,['积存垃圾渣土'],0.1
0.333333333,1,0.833333333,['固体废物'],6.666666667,"['其他区域堆放施工废弃料', '积存垃圾渣土']",0.1
0.333333333,1,0.833333333,"['道路遗撒', '积存垃圾渣土']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.333333333,1,0.833333333,"['其他区域堆放施工废弃料', '道路遗撒']",6.666666667,['积存垃圾渣土'],0.1
0.333333333,1,0.833333333,['道路遗撒'],6.666666667,"['其他区域堆放施工废弃料', '积存垃圾渣土']",0.1
0.571428571,0.8,0.553846154,"['垃圾臭味扰民', '积存垃圾渣土']",2.461538462,['城市管理'],0.125
0,0.8,0.8,"['城市管理', '积存垃圾渣土']",6.4,['垃圾臭味扰民'],0.125
0.333333333,1,0.833333333,"['城市管理', '垃圾臭味扰民']",6.666666667,['积存垃圾渣土'],0.1
0,0.8,0.8,['垃圾臭味扰民'],6.4,"['城市管理', '积存垃圾渣土']",0.125
0.333333333,1,0.833333333,"['城市管理', '固体废物']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.692307692,1,0.653846154,"['其他区域堆放施工废弃料', '固体废物']",3.076923077,['城市管理'],0.1
0.2,0.8,0.9,"['其他区域堆放施工废弃料', '城市管理']",8,['固体废物'],0.125
0.2,1,0.9,['固体废物'],8,"['其他区域堆放施工废弃料', '城市管理']",0.1
0.333333333,0.8,0.65,"['下水井盖', '上水井盖']",4,['道路破损'],0.125
0.6,1,0.7,"['道路破损', '上水井盖']",4,['下水井盖'],0.1
0.142857143,0.8,0.733333333,['上水井盖'],5.333333333,"['道路破损', '下水井盖']",0.125
0.333333333,1,0.833333333,"['城市管理', '垃圾臭味扰民']",6.666666667,['其他区域堆放施工废弃料'],0.1
0.571428571,0.8,0.553846154,"['其他区域堆放施工废弃料', '垃圾臭味扰民']",2.461538462,['城市管理'],0.125
0,0.8,0.8,"['其他区域堆放施工废弃料', '城市管理']",6.4,['垃圾臭味扰民'],0.125
